Co_ID,PO ID,Exchange,Name," Root
Ticker "," Market Cap (C$)
31-December-2023 "," O/S Shares
31-December-2023 ",Sector, Sub-Sector ,"HQ
Location","HQ
Region",Listing Type,Listing Date,Interlisted,Trading on OTC,"CPC/
Former
CPC","S&P/TSX Venture 
Composite Index",2023 Venture 50,USA City,Asia Region," Volume YTD
31-December-2023 "," Value (C$) YTD
31-December-2023 "," Number of 
Trades YTD
31-December-2023 "," Number of
Months in
Trading Data ",AFRICA,ASIA,AUS/NZ/PNG,CANADA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Royalty Streaming,Other Properties
V-00404,1087625,TSXV,Chesapeake Gold Corp.,CKG," 119,239,353 "," 67,366,866 ",Mining,,BC,Canada,,,,OTCQX,,Y,,,," 3,069,453 "," 5,742,908 "," 4,790 ", 12 ,,,,,Mexico,,,NV,,Y,Y,,,,,,,,,,,,,,,,,
V-03670,1133420,TSXV,Doubleview Gold Corp.,DBG," 111,014,816 "," 185,024,693 ",Mining,,BC,Canada,QT,20110722,,OTCQB,Y,Y,,,," 54,906,352 "," 26,353,055 "," 13,994 ", 12 ,,,,BC,,,,,,Y,,Y,,,,,,,Y,,,,,,,,,
V-04834,1185566,TSXV,Hot Chili Limited,HCH," 107,500,685 "," 119,445,206 ",Mining,,Australia,Australia/NZ/PNG,Other,20220104,ASX,OTCQX,,,,,," 4,027,421 "," 3,892,972 "," 1,606 ", 12 ,,,,,Chile,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-03709,1141820,TSXV,Banyan Gold Corp.,BYN," 104,380,382 "," 285,973,649 ",Mining,,AB,Canada,QT,20130219,,OTCQB,Y,Y,,,," 39,387,801 "," 14,809,200 "," 6,837 ", 12 ,,,,YT,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01608,33914,TSXV,Rio2 Limited,RIO," 103,692,922 "," 259,232,306 ",Mining,,ON,Canada,,,Lima (BVL),OTCQX,,,,,," 34,188,879 "," 8,948,685 "," 5,830 ", 12 ,,,,,Chile,,,,,Y,,,,,,,,,,,,,,,,,,
V-04078,1155905,TSXV,Thesis Gold Inc.,TAU," 96,149,946 "," 162,966,011 ",Mining,,BC,Canada,IPO,20121101,,OTCQX,,Y,,,," 44,853,178 "," 20,641,663 "," 10,876 ", 12 ,,,,BC,,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-04384,1180485,TSXV,Integra Resources Corp.,ITR," 95,697,900 "," 68,847,410 ",Mining,,ON,Canada,Other,20171107,NYSE Mkt,,,,,,," 24,123,381 "," 23,784,936 "," 16,026 ", 12 ,,,,,,,,"AZ, ID, NV",,Y,Y,,,,,,,,,,,,,,,,,
V-04572,1182951,TSXV,Andean Precious Metals Corp.,APM," 95,589,501 "," 156,704,100 ",Mining,,BC,Canada,QT,20210329,,OTCQX,Y,,,,," 21,000,558 "," 14,774,495 "," 11,074 ", 12 ,,,,,Bolivia,,,,,,Y,,,,,,,,,,,,,,,,,
V-02080,34882,TSXV,Guanajuato Silver Company Ltd.,GSVR," 92,017,504 "," 353,913,478 ",Mining,,BC,Canada,,,,OTCQX,,Y,,,," 110,408,071 "," 45,233,907 "," 36,767 ", 12 ,,,,,Mexico,,,,,,Y,,,,,,,,,,,,,,,,,
V-03887,1149770,TSXV,Magna Mining Inc.,NICU," 91,492,722 "," 163,379,860 ",Mining,,ON,Canada,QT from NEX,20210511,,OTCQB,Y,,,,," 62,496,140 "," 56,575,250 "," 46,324 ", 12 ,,,,ON,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,
V-03877,1151651,TSXV,NorthIsle Copper and Gold Inc.,NCX," 91,250,509 "," 228,126,273 ",Mining,,BC,Canada,Other,20111024,,,,,,,," 27,232,528 "," 5,935,589 "," 3,494 ", 12 ,,,,BC,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-02469,1111374,TSXV,Goliath Resources Limited,GOT," 85,256,183 "," 103,970,955 ",Mining,,QC,Canada,QT from NEX,20171018,,OTCQB,Y,Y,,,," 31,427,686 "," 24,182,667 "," 14,289 ", 12 ,,,,"BC, QC",,,,,,Y,,,,,,,,,,,,,,,,,,
V-01801,16380,TSXV,Skyharbour Resources Ltd.,SYH," 84,239,041 "," 181,159,228 ",Mining,,BC,Canada,,,,OTCQX,,Y,,,," 62,676,755 "," 29,000,474 "," 27,496 ", 12 ,,,,"ON, SK",,,,,,Y,,,,,,,,,,,,,Y,,,Y,,
V-04394,1180375,TSXV,Sailfish Royalty Corp.,FISH," 84,144,566 "," 71,308,954 ",Mining,,British Virgin Islands,Latin America,Other,20171222,,OTCQX,,,,,," 6,774,638 "," 7,165,597 "," 5,291 ", 12 ,,,,,Nicaragua,,,NV,,Y,Y,,,,,,,,,,,,,,,,Y,
V-03086,1122915,TSXV,Minaurum Gold Inc.,MGG," 84,133,727 "," 373,927,674 ",Mining,,BC,Canada,Other,20100225,,OTCQX,,,,,," 21,592,712 "," 3,917,304 "," 5,201 ", 12 ,,,,,Mexico,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-01956,40289,TSXV,Teuton Resources Corp.,TUO," 79,138,696 "," 57,346,881 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 5,377,059 "," 6,543,168 "," 4,830 ", 12 ,,,,BC,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-04700,1184627,TSXV,Founders Metals Inc.,FDR," 78,828,720 "," 50,209,376 ",Mining,,AB,Canada,Other,20210303,,OTCQX,,,,,," 41,484,352 "," 33,059,141 "," 16,603 ", 10 ,,,,,Suriname,,,,,Y,,,,,,,,,,,,,,,,,,
V-00186,1074345,TSXV,Azimut Exploration Inc.,AZM," 78,391,952 "," 85,208,644 ",Mining,,QC,Canada,,,,OTCQX,,Y,,,," 15,581,417 "," 17,751,277 "," 10,206 ", 12 ,,,,QC,,,,,,Y,,Y,Y,,,,,,,,,Y,,,,,,
V-04639,1183655,TSXV,Great Pacific Gold Corp.,GPAC," 78,251,918 "," 85,991,119 ",Mining,,BC,Canada,Other,20200414,,OTCQX,,,,,," 24,632,246 "," 13,831,442 "," 7,067 ", 12 ,,,"Australia, PNG",,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-01204,38513,TSXV,Majestic Gold Corp.,MJS," 72,986,507 "," 1,042,664,381 ",Mining,,BC,Canada,,,,,,Y,,,," 12,632,067 "," 1,091,395 "," 1,174 ", 12 ,,China,Australia,,,,,,,Y,,,,,,,,,,,,Y,,,,,,
V-01895,22266,TSXV,Northern Superior Resources Inc.,SUP," 72,102,897 "," 151,795,573 ",Mining,,ON,Canada,,,,OTCQB,,,,,," 15,748,035 "," 6,659,644 "," 6,865 ", 12 ,,,,"ON, QC",,,,,,Y,,,,,,,,,,,,,,,,,,
V-00848,1023988,TSXV,Gowest Gold Ltd.,GWA," 70,452,046 "," 670,971,870 ",Mining,,ON,Canada,,,,,,,,,," 6,787,855 "," 806,360 "," 1,301 ", 12 ,,,,ON,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01075,27392,TSXV,Eskay Mining Corp.,ESK," 67,814,978 "," 183,283,723 ",Mining,,BC,Canada,,,,OTCQX,,Y,,,," 17,645,514 "," 13,048,789 "," 9,837 ", 12 ,,,,BC,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-01800,1023428,TSXV,Spanish Mountain Gold Ltd.,SPA," 67,140,000 "," 373,000,000 ",Mining,,BC,Canada,,,,,,,,,," 30,677,540 "," 5,881,675 "," 4,158 ", 12 ,,,,BC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-02911,1118836,TSXV,Aurion Resources Ltd.,AU," 64,905,066 "," 132,459,318 ",Mining,,BC,Canada,IPO,20081003,,OTCQX,,Y,,,," 11,264,030 "," 6,480,425 "," 5,625 ", 12 ,,,,,,,Finland,,,Y,,,,,,,,,,,,,,,,,,
V-02886,1118648,TSXV,Brixton Metals Corporation,BBB," 64,813,694 "," 462,954,959 ",Mining,,BC,Canada,QT,20101207,,OTCQB,Y,,,,," 39,438,011 "," 7,551,768 "," 8,230 ", 12 ,,,,BC,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-01644,1074424,TSXV,Radisson Mining Resources Inc.,RDS," 64,000,000 "," 320,000,000 ",Mining,,QC,Canada,,,,OTCQB,,,,,," 27,987,581 "," 5,119,576 "," 4,409 ", 12 ,,,,QC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-00075,1015607,TSXV,Blackrock Silver Corp.,BRC," 61,882,975 "," 193,384,296 ",Mining,,BC,Canada,QT,20031223,,OTCQX,Y,,,,," 62,097,262 "," 21,322,064 "," 18,390 ", 12 ,,,,,,,,NV,,Y,Y,,,,,,,,,,,,,,,,,
V-02269,1104436,TSXV,Condor Resources Inc.,CN," 59,264,019 "," 141,104,808 ",Mining,,BC,Canada,Other,20060303,,,,,,,," 30,728,718 "," 10,614,203 "," 6,445 ", 12 ,,,,,Peru,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-04512,1181990,TSXV,Cerrado Gold Inc.,CERT," 58,970,143 "," 98,283,572 ",Mining,,ON,Canada,QT,20210225,,OTCQX,Y,,,,," 15,165,476 "," 11,428,403 "," 6,685 ", 12 ,,,,,"Argentina, Brazil",,,,,Y,Y,,,,,,,,,,,,,,,,,
V-04725,1184430,TSXV,Sierra Madre Gold and Silver Ltd.,SM," 55,920,560 "," 149,121,493 ",Mining,,BC,Canada,Other,20210419,,OTCQX,,,,,," 10,448,069 "," 4,214,068 "," 2,162 ", 7 ,,,,,Mexico,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-03692,1136330,TSXV,Soma Gold Corp.,SOMA," 55,722,577 "," 91,348,487 ",Mining,,BC,Canada,QT,20120502,,OTCQB,Y,,,,," 12,414,747 "," 6,909,861 "," 3,334 ", 12 ,,,,,Colombia,,,,,Y,,,,,,,,,,,,,,,,,,
V-02617,1113805,TSXV,West Vault Mining Inc.,WVM," 55,028,267 "," 57,924,492 ",Mining,,BC,Canada,QT,20100531,,OTCQX,Y,,,,," 2,186,213 "," 1,954,309 ", 735 , 12 ,,,,,,,,NV,,Y,,,,,,,,,,,,,,,,,,
V-03879,1149920,TSXV,Scottie Resources Corp.,SCOT," 54,013,258 "," 276,991,067 ",Mining,,BC,Canada,IPO,20111007,,OTCQB,,,,,," 39,418,956 "," 9,788,229 "," 6,537 ", 12 ,,,,BC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01099,1059092,TSXV,Kootenay Silver Inc.,KTN," 54,005,095 "," 45,767,030 ",Mining,,BC,Canada,QT,20050314,,,Y,,,,," 86,979,352 "," 11,310,491 "," 11,992 ", 12 ,,,,,Mexico,,,,,,Y,,,,,,,,,,,,,,,,,
V-03817,1148820,TSXV,Aftermath Silver Ltd.,AAG," 53,893,583 "," 207,283,011 ",Mining,,BC,Canada,Other,20110712,,OTCQX,,,,,," 43,996,120 "," 10,693,009 "," 10,358 ", 12 ,,,,,"Chile, Peru",,,,,,Y,,,,,,,,,,,,,,,,,
V-00834,21540,TSXV,Silver Storm Mining Ltd.,SVRS," 53,614,016 "," 397,140,860 ",Mining,,QC,Canada,,,,,,,,,," 18,738,175 "," 2,525,664 "," 3,022 ", 9 ,,,,,Mexico,,,,,,Y,,,,,,,,,,,,,,,,,
V-04690,1184220,TSXV,Summa Silver Corp.,SSVR," 53,428,408 "," 104,761,584 ",Mining,,BC,Canada,Other,20210111,,OTCQX,,,,,," 22,865,169 "," 13,089,115 "," 16,962 ", 12 ,,,,,,,,"NM, NV",,Y,Y,,,,,,,,,,,,,,,,,
V-03775,1141470,TSXV,Metallic Minerals Corp.,MMG," 53,351,049 "," 166,722,027 ",Mining,,BC,Canada,IPO,20110519,,OTCQB,,,,,," 20,494,257 "," 6,664,219 "," 6,977 ", 12 ,,,,YT,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,
V-02359,1108183,TSXV,American Creek Resources Ltd.,AMK," 51,660,714 "," 397,390,109 ",Mining,,AB,Canada,Other,20060906,,,,,,,," 27,804,016 "," 4,017,201 "," 2,963 ", 12 ,,,,BC,,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-01669,40626,TSXV,Heliostar Metals Ltd.,HSTR," 51,601,810 "," 184,292,180 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 50,420,005 "," 16,127,455 "," 10,355 ", 10 ,,,,,Mexico,,,AK,,Y,,,,,,,,,,,,,,,,,,
V-04324,1178740,TSXV,Adventus Mining Corporation,ADZN," 49,798,715 "," 187,919,680 ",Mining,,ON,Canada,IPO,20170209,,OTCQX,,,,,," 18,054,817 "," 6,682,017 "," 4,747 ", 12 ,,,,,Ecuador,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-03761,1140460,TSXV,Pasofino Gold Limited,VEIN," 49,790,310 "," 105,936,829 ",Mining,,ON,Canada,QT,20130419,,OTCQB,Y,,,,," 1,495,683 "," 720,532 ", 485 , 12 ,Liberia,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01295,91794,TSXV,Outcrop Silver & Gold Corporation,OCG," 49,591,257 "," 254,314,136 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 58,831,982 "," 14,460,579 "," 14,501 ", 12 ,,,,,Colombia,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-04871,1186170,TSXV,Lavras Gold Corp.,LGC," 49,298,895 "," 51,353,016 ",Mining,,ON,Canada,Other,20220412,,OTCQX,,,,,," 16,406,697 "," 16,939,691 "," 10,541 ", 12 ,,,,,Brazil,,,,,Y,,,,,,,,,,,,,,,,,,
V-01301,1023346,TSXV,Monument Mining Limited,MMY," 49,080,735 "," 327,204,903 ",Mining,,BC,Canada,RTO,20070709,,,,,,,," 15,338,460 "," 1,841,827 "," 1,906 ", 12 ,,Malaysia,Australia,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01733,782165,TSXV,White Gold Corp.,WGO," 47,612,892 "," 176,344,045 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 19,451,183 "," 6,432,515 "," 3,319 ", 12 ,,,,YT,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01497,1023157,TSXV,Trigon Metals Inc.,TM," 47,022,388 "," 200,095,269 ",Mining,,ON,Canada,,,,OTCQB,,,,,," 48,637,834 "," 9,777,461 "," 8,044 ", 12 ,"Morocco, Namibia",,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,
V-04803,1185453,TSXV,Alpha Exploration Ltd.,ALEX," 46,896,788 "," 86,845,903 ",Mining,,Eritrea,Africa,Other,20211101,,,,,,,," 1,434,884 "," 975,302 ", 995 , 12 ,Eritrea,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-03920,1152255,TSXV,North Peak Resources Ltd.,NPR," 46,403,554 "," 30,132,178 ",Mining,,ON,Canada,COB,20200630,,,Y,,,,," 4,749,707 "," 6,088,140 "," 3,788 ", 12 ,,,,ON,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01296,1099872,TSXV,Mirasol Resources Ltd.,MRZ," 45,959,417 "," 65,656,310 ",Mining,,BC,Canada,Other,20050504,,,,,,,," 7,832,988 "," 7,187,114 "," 3,246 ", 12 ,,,,,"Argentina, Chile",,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-00933,25043,TSXV,Nicola Mining Inc.,NIM," 45,751,648 "," 160,532,097 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 30,562,806 "," 4,814,500 "," 2,709 ", 12 ,,,,BC,,,,,,,Y,Y,,,,,,Y,Y,,,,,,,,,
V-01715,27307,TSXV,Roscan Gold Corporation,ROS," 45,486,048 "," 379,050,401 ",Mining,,ON,Canada,,,,,,,,,," 27,856,361 "," 4,593,257 "," 2,827 ", 12 ,Mali,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
V-01830,28662,TSXV,Southern Silver Exploration Corp.,SSV," 45,189,747 "," 291,546,757 ",Mining,,BC,Canada,,,SSEV,OTCQX,,,,,," 31,523,938 "," 5,942,267 "," 5,949 ", 12 ,,,,,Mexico,,,NM,,,Y,,,,,,,,,,,,,,,,,
V-01809,37278,TSXV,Luca Mining Corp.,LUCA," 45,172,831 "," 148,107,644 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 21,991,874 "," 7,843,612 "," 4,486 ", 12 ,,,,,Mexico,,,,,Y,Y,,,,,,,,,,,,,,,Y,,
V-02753,1117441,TSXV,Silver One Resources Inc.,SVE," 44,059,812 "," 244,776,731 ",Mining,,BC,Canada,QT from NEX,20160805,,OTCQX,Y,,,,," 26,580,446 "," 7,289,715 "," 8,785 ", 12 ,,,,,,,,NV,,,Y,,,,,,,,,,,,,,,,,
V-01973,18705,TSXV,Tinka Resources Limited,TK," 43,043,432 "," 391,303,925 ",Mining,,BC,Canada,,20030211,Lima (BVL),OTCQB,,,,,," 12,200,457 "," 1,549,726 "," 1,636 ", 12 ,,,,,Peru,,,,,,Y,Y,,,,,,,Y,,,,,,,,,Tin
V-00951,25723,TSXV,IMPACT Silver Corp.,IPT," 42,437,329 "," 207,011,361 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 38,314,341 "," 9,326,092 "," 9,434 ", 12 ,,,,,Mexico,,,,,,Y,,,,,,,,,,,,,,,,,
V-03091,1127925,TSXV,Silver X Mining Corp.,AGX," 41,645,194 "," 166,580,777 ",Mining,,BC,Canada,IPO,20100201,,,,,,,," 44,229,449 "," 13,286,980 "," 12,466 ", 12 ,,,,,Peru,,,,,Y,Y,,,,,,,,,,,,,,,,,
V-04611,1183551,TSXV,Tectonic Metals Inc.,TECT," 41,337,616 "," 330,700,924 ",Mining,,BC,Canada,Other,20191118,,OTCQB,,,,,," 82,236,418 "," 10,357,400 "," 8,075 ", 12 ,,,,,,,,AK,,Y,,,,,,,,,,,,,,,,,,
V-04594,1183285,TSXV,Kenorland Minerals Ltd.,KLD," 41,314,324 "," 63,560,499 ",Mining,,BC,Canada,RTO,20210113,,OTCQX,,,,,," 7,022,245 "," 5,025,437 "," 2,327 ", 12 ,,,,"MB, ON, QC",,,,AK,,Y,,Y,Y,,,,,,,,,Y,,,,,,
V-03917,1153630,TSXV,Independence Gold Corp.,IGO," 40,835,848 "," 166,676,931 ",Mining,,BC,Canada,,20111229,,OTCQB,,,,,," 46,669,260 "," 7,824,037 "," 6,847 ", 12 ,,,,"BC, YT",,,,,,Y,,,,,,,,,,,,,,,,,,
V-02996,1121818,TSXV,Revival Gold Inc.,RVG," 39,040,044 "," 113,159,547 ",Mining,,ON,Canada,QT,20110426,,OTCQX,Y,,,,," 22,252,553 "," 11,277,016 "," 8,528 ", 12 ,,,,,,,,ID,,Y,,,,,,,,,,,,,,,,,,
V-04048,1154550,TSXV,Benz Mining Corp.,BZ," 38,870,000 "," 169,000,000 ",Mining,,BC,Canada,QT,20130412,ASX,,Y,,,,," 8,800,156 "," 3,210,786 "," 1,509 ", 12 ,,,,QC,,,,,,Y,,Y,,,,,,,,,,,,,,,,
V-02982,1121331,TSXV,Vanstar Mining Resources Inc.,VSR," 38,511,302 "," 58,350,458 ",Mining,,QC,Canada,IPO,20090508,,OTCQX,,,,,," 10,262,496 "," 5,256,607 "," 2,330 ", 12 ,,,,QC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-03842,1145555,TSXV,C3 Metals Inc.,CCCM," 37,749,814 "," 61,884,941 ",Mining,,ON,Canada,RTO,20150707,,OTCQB,,,,,," 67,683,445 "," 4,894,905 "," 2,230 ", 12 ,,,,,"Jamaica, Peru",,,,,Y,,Y,,,,,,,,,,,,,,,,
V-02089,1066050,TSXV,Red Pine Exploration Inc.,RPX," 37,188,710 "," 190,711,334 ",Mining,,ON,Canada,,,,OTCQB,,,,,," 45,654,462 "," 9,446,420 "," 5,581 ", 12 ,,,,ON,,,,,,Y,,,,,,,,,,,,,,,,,,
V-02217,38326,TSXV,Kodiak Copper Corp.,KDK," 37,077,694 "," 63,927,058 ",Mining,,BC,Canada,,,,OTCQB,,,,,," 10,576,852 "," 8,472,187 "," 6,953 ", 12 ,,,,"BC, NU",,,,AZ,,Y,,Y,,Y,Y,,,,,,,,,,,,,
V-04244,1172165,TSXV,Cabral Gold Inc.,CBR," 36,686,515 "," 188,135,973 ",Mining,,BC,Canada,RTO from NEX,20171102,,,,,,,," 37,152,583 "," 5,084,276 "," 6,224 ", 12 ,,,,,Brazil,,,,,Y,,,,,,,,,,,,,,,,,,
V-00212,1021890,TSXV,Bear Creek Mining Corporation,BCM," 35,772,009 "," 198,733,386 ",Mining,,BC,Canada,,,Lima (BVL),OTCQX,,,,,," 47,930,134 "," 19,011,452 "," 13,535 ", 12 ,,,,,"Mexico, Peru",,,,,Y,Y,,,,,,,Y,Y,,,,,,,,,
V-04982,1184370,TSXV,Bunker Hill Mining Corp.,BNKR," 35,492,763 "," 322,661,482 ",Mining,,ON,Canada,Other,20230908,,OTCQB,,,,,," 5,140,913 "," 617,741 "," 1,441 ", 4 ,,,,,,,,ID,,,Y,,,,,,,Y,Y,,,,,,,,,
V-03711,1126005,TSXV,Cassiar Gold Corp.,GLDC," 35,460,149 "," 104,294,555 ",Mining,,AB,Canada,QT,20110705,,OTCQX,Y,,,,," 21,917,097 "," 10,045,712 "," 9,548 ", 12 ,,,,BC,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04035,1152375,TSXV,Benton Resources Inc.,BEX," 35,212,704 "," 171,769,287 ",Mining,,ON,Canada,Other,20120801,,,,,,,," 45,937,744 "," 6,381,639 "," 5,097 ", 12 ,,,,NL,,,,,,Y,,Y,,,,,,,,,,Y,,,,,,
V-04491,1181810,TSXV,Luminex Resources Corp.,LR," 34,786,004 "," 173,930,019 ",Mining,,BC,Canada,Other,20180905,,OTCQX,,,,,," 11,927,558 "," 2,917,201 "," 1,677 ", 12 ,,,,,Ecuador,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
V-03118,1130960,TSXV,Blue Star Gold Corp.,BAU," 34,396,237 "," 81,895,802 ",Mining,,BC,Canada,IPO,20100420,,OTCQB,,,,,," 9,716,582 "," 3,195,972 "," 2,141 ", 12 ,,,,NU,,,,,,Y,,,,,,,,,,,,,,,,,,
V-04683,1183985,TSXV,Empress Royalty Corp.,EMPR," 34,279,571 "," 118,205,418 ",Mining,,BC,Canada,Other,20201229,,OTCQX,,,,,," 19,184,721 "," 5,575,667 "," 5,175 ", 12 ,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,
V-04574,1182795,TSXV,Reyna Silver Corp.,RSLV," 33,803,251 "," 150,236,670 ",Mining,,ON,Canada,RTO,20200608,,OTCQX,,,,,," 36,386,223 "," 8,946,676 "," 8,473 ", 12 ,,,,QC,Mexico,,,NV,,,Y,,,,,,,,,,,,,,,,,
V-00961,42252,TSXV,Barksdale Resources Corp.,BRO," 33,768,301 "," 81,369,401 ",Mining,,BC,Canada,,,,OTCQX,,,,,," 16,936,385 "," 10,583,775 "," 6,205 ", 12 ,,,,,Mexico,,,AZ,,Y,Y,Y,,,,,,,,,,,,,,,,
V-02216,30787,TSXV,Resouro Strategic Metals Inc.,RSM," 33,710,163 "," 70,968,764 ",Mining,,ON,Canada,RTO from NEX,20220518,,,,,,,," 11,793,543 "," 4,811,940 "," 1,871 ", 12 ,,,,,Brazil,,,,,Y,,,,,,,,,,,,,,,,,,
V-02358,1108531,TSXV,Stillwater Critical Minerals Corp.,PGE," 33,623,688 "," 197,786,398 ",Mining,,BC,Canada,QT,20071001,,OTCQB,Y,,,,," 16,325,357 "," 3,169,751 "," 4,544 ", 12 ,,,,"BC, ON, YT",,,,"AK, MT",,Y,,Y,Y,,,Y,,,,,,,,,,,,
V-02425,1110123,TSXV,Cartier Resources Inc.,ECR," 33,421,007 "," 351,800,077 ",Mining,,QC,Canada,QT,20070607,,,Y,,,,," 33,444,953 "," 3,217,936 "," 2,717 ", 12 ,,,,QC,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,
